Source;Target;Weight
Ladurie, Emmanuel Le Roy;Vasak, Anouchka;13
Amadieu, Jean-Baptiste;Icard, Simon;13
Mercier, Jean-Marie;Zarcone, Thierry;13
Loiselle, Kenneth;Zarcone, Thierry;13
Loiselle, Kenneth;Mercier, Jean-Marie;13
Beaurepaire, Pierre-Yves;Zarcone, Thierry;13
Berchtold, Jacques;Vasak, Anouchka;13
Loubier, Pierre;Parmentier, Marie;13
Sermain, Jean-Paul;Vasak, Anouchka;13
Watelet, Hubert;la collaboration de Cornelius J. Jaenen, avec;13
Antoine-Mahut, Delphine;Boulad-Ayoub, Josiane;13
Chaline, Olivier;Wrede, Martin;13
Chaline, Olivier;Figeac, Michel;13
Bourquin, Laurent;Wrede, Martin;13
Bourquin, Laurent;Figeac, Michel;13
Biskup, Thomas;Marschke, Benjamin;13
Biskup, Thomas;Tricoire, Damien;13
Bourdin, Philippe;Caron, Jean-Claude;13
